id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57114d8a4c057,22,Male,9,no,twoColorsObj,#00FF00,#FF00FF,#808000,41,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
571151812791a,20,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#808080,239,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
57115317eb242,22,Male,2,no,twoColorsObj,#00FF00,#FF00FF,#FF8080,513,3,NA       ,0.29,0.13,0.29,0.13,0.15,0.06,0.08,0.06
571153ca15566,32,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,56,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57116b9b879bf,20,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FB0080,450,4,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
57119224388ef,24,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#ffa100,16,5,NA       ,0.35,0.08,0.35,0.08,0.11,0.1,0.13,0.09
5711ace2ee7ed,24,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,677,2,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5711cbde51bb0,24,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,312,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57120d338509d,28,Male,2,no,twoColorsObj,#00FF00,#FF00FF,#5792ff,669,3,Sky-Blue ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
571210e10d88b,23,Male,19,no,twoColorsObj,#00FF00,#FF00FF,#00ffb7,1290,2,NA       ,0.27,0.23,0.27,0.23,0.26,0.08,0.07,0.08
571214121717c,22,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#ca0088,292,2,NA       ,0.23,0.19,0.23,0.19,0.2,0.09,0.09,0.09
57121e2a63601,21,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#c4ff9e,3,1,NA       ,0.3,0.18,0.3,0.18,0.21,0.05,0.06,0.05
57123bec83e8e,21,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0000,52,2,NA       ,0.37,0.07,0.37,0.07,0.07,0.15,0.18,0.15
571243bcc8142,24,Male,12,no,twoColorsObj,#00FF00,#FF00FF,#808080,213,2,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
571247f66fb51,27,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,106,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
571260c120253,22,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,106,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#00FF00,#FF00FF,#c6aeff,714,1,NA       ,0.17,0.25,0.17,0.25,0.28,0.09,0.06,0.1
5713b10383207,40,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#00FFFF,475,2,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
5713b961c216a,647,Male,11,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713d766113e9,21,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#0080FF,41,3,Sky-Blue ,0.08,0.35,0.08,0.35,0.37,0.18,0.16,0.19
5713e73998df9,25,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#800080,156,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
57142079d871e,51,Male,8,no,twoColorsObj,#00FF00,#FF00FF,#5792ff,3,1,Sky-Blue ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
5714c6c26c2f6,21,Male,11,no,twoColorsObj,#00FF00,#FF00FF,#008080,738,3,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
571534076a966,52,Male,9,no,twoColorsObj,#00FF00,#FF00FF,#FF0050,1432,3,NA       ,0.33,0.1,0.33,0.1,0.11,0.12,0.15,0.12
57190633f233f,30,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,182,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
572106a31c230,24,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#808080,264,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5727633cd6511,25,Male,11,no,twoColorsObj,#00FF00,#FF00FF,#008080,73,1,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
5727635041e99,38,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#FFFF00,300,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
572767049ccfa,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#7E7E7E,156,4,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5727d86840dc8,37,Male,7,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,301,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5727e49793f7b,22,Male,10,no,twoColorsObj,#00FF00,#FF00FF,#00FFFF,112,2,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
572a7874c1e2e,19,Male,6,no,twoColorsObj,#00FF00,#FF00FF,#aeff00,1,5,NA       ,0.36,0.16,0.36,0.16,0.2,0.12,0.13,0.11
572c85675a5ef,23,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#c9ab00,66,1,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5734918f46823,26,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0050,83,1,NA       ,0.33,0.1,0.33,0.1,0.11,0.12,0.15,0.12
5734b3efd45eb,26,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#ca0088,456,2,NA       ,0.23,0.19,0.23,0.19,0.2,0.09,0.09,0.09
5735d3455a84c,29,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,447,1,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5736048bb110b,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#D7A700,206,5,NA       ,0.35,0.1,0.35,0.1,0.13,0.09,0.12,0.08
573613f4689a3,18,Male,7,no,twoColorsObj,#00FF00,#FF00FF,#808000,593,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
573634984323e,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,325,3,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
573664e1a4a96,49,Male,18,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,188,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
57366c199283c,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,215,2,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
5738cf3d97a58,23,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#0000FF,123,2,Navy-Blue,0,0.42,0,0.42,0.44,0.26,0.23,0.27
573c70dabcfe0,49,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#9700FF,74,2,NA       ,0.07,0.35,0.07,0.35,0.37,0.19,0.17,0.2
573e4022949b1,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#8342FF,99,2,NA       ,0.07,0.35,0.07,0.35,0.37,0.19,0.17,0.2
573e47c26cb8e,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#CDB196,222,1,NA       ,0.27,0.17,0.27,0.17,0.2,0.01,0.04,0
573e4d0eb795b,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#D9FF00,166,2,NA       ,0.36,0.14,0.36,0.14,0.18,0.11,0.12,0.09
573edae85268b,27,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#9700FF,466,2,NA       ,0.07,0.35,0.07,0.35,0.37,0.19,0.17,0.2
5740ad339507d,40,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#006C84,14,3,Cyan     ,0.16,0.29,0.16,0.29,0.31,0.11,0.08,0.12
5740b0f8e9734,62,Male,33,yes,twoColorsObj,#00FF00,#FF00FF,#9C0083,596,5,NA       ,0.19,0.23,0.19,0.23,0.25,0.1,0.1,0.11
5740b686127bb,32,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#768F00,167,4,NA       ,0.36,0.15,0.36,0.15,0.18,0.11,0.12,0.1
574297edae49c,24,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,145,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57459c393bbd0,29,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#808000,33,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745f6f039dc9,15,Male,33,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,556,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
574859b8f3379,30,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#3F0091,395,3,Navy-Blue,0.04,0.38,0.04,0.38,0.4,0.22,0.2,0.23
5756ab1701ba0,21,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#998077,901,2,NA       ,0.26,0.18,0.26,0.18,0.2,0,0.03,0.01
5756ae6897296,21,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#9200FF,186,4,NA       ,0.07,0.35,0.07,0.35,0.37,0.2,0.18,0.21
5757fd2703090,22,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#7100FF,288,3,NA       ,0.04,0.38,0.04,0.38,0.4,0.22,0.2,0.23
5757ffca0b4b1,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#AF0049,345,3,NA       ,0.31,0.12,0.31,0.12,0.13,0.11,0.13,0.11
57581518c2c07,25,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#006EFF,20,4,LI-Blue  ,0.06,0.37,0.06,0.37,0.39,0.2,0.18,0.21
57582b17cd76a,26,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#749300,310,1,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.13,0.1
