id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
573634984323e,19,Male,32,no,objTwoColors,#0080FF,220,198,452,3,Blue     ,Navy-Blue,0.68,0.03,0.21,0.17,0.23,0.29,0.19,0.18,0.11,0.19,0.18,0.66
57363b3954a26,55,Male,16,no,objTwoColors,#0080FF,210,0,78,5,Blue     ,Red      ,0.78,0.09,0.24,0.07,0.12,0.11,0.48,0.46,0.46,0.48,0.46,0.98
573664e1a4a96,49,Male,18,no,objTwoColors,#0080FF,181,276,158,2,Blue     ,Blue     ,0.43,0.11,0.31,0.12,0.22,0.23,0.54,0.51,0.32,0.54,0.51,0.32
57366c199283c,19,Male,32,no,objTwoColors,#0080FF,56,96,131,4,Green    ,Green    ,0.56,0.4,0.26,0.12,0.19,0.16,0.74,0.71,0.73,0.74,0.71,0.66
5738cf3d97a58,23,Male,32,no,objTwoColors,#0080FF,228,0,64,4,Blue     ,Red      ,0.86,0.11,0.35,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
573a0b8280839,29,Male,21,yes,objTwoColors,#0000FF,0,267,253,3,Red      ,Blue     ,0.6,0.2,0.08,0.11,0.17,0.18,0.84,0.8,0.64,0.84,0.8,0.42
573c70dabcfe0,49,Male,32,yes,objTwoColors,#0000FF,128,67,431,2,Green    ,Yellow   ,0.37,0.42,0.39,0.11,0.21,0.18,0.75,0.73,0.76,0.75,0.73,0.5
573e4022949b1,24,Male,32,yes,objTwoColors,#0000FF,235,0,80,5,Blue     ,Red      ,0.88,0.12,0.39,0.09,0.19,0.18,0.4,0.43,0.54,0.4,0.43,1.07
573e47c26cb8e,24,Male,32,yes,objTwoColors,#0000FF,5,103,120,2,Red      ,Green    ,0.83,0.39,0.05,0.1,0.16,0.13,0.78,0.74,0.8,0.78,0.74,0.93
573e4d0eb795b,24,Male,32,yes,objTwoColors,#0000FF,223,0,52,4,Blue     ,Red      ,0.85,0.1,0.31,0.09,0.17,0.15,0.42,0.42,0.51,0.42,0.42,1.04
573edae85268b,27,Male,32,yes,objTwoColors,#0000FF,237,0,2622,2,Blue     ,Red      ,0.88,0.13,0.39,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
5740ad339507d,40,Male,32,yes,objTwoColors,#0000FF,117,53,348,3,Green    ,Green    ,0.35,0.41,0.39,0.12,0.2,0.17,0.78,0.75,0.77,0.78,0.75,0.49
5740b0f8e9734,62,Male,33,yes,objTwoColors,#0000FF,228,0,52,5,Blue     ,Red      ,0.86,0.11,0.35,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5740b686127bb,32,Male,32,yes,objTwoColors,#0000FF,215,254,875,3,Blue     ,Blue     ,0.7,0.12,0.28,0.2,0.32,0.35,0.37,0.36,0.26,0.37,0.36,0.52
574297edae49c,24,Male,32,no,objTwoColors,#0080FF,206,207,107,5,Navy-Blue,Navy-Blue,0.6,0.01,0.22,0.16,0.21,0.28,0.32,0.3,0.13,0.32,0.3,0.53
57459c393bbd0,29,Male,31,no,objTwoColors,#0080FF,211,208,130,4,Blue     ,NA       ,0.64,0.03,0.21,0.17,0.23,0.3,0.29,0.28,0.15,0.29,0.28,0.55
5745f6f039dc9,15,Male,33,no,objTwoColors,#0080FF,0,0,0,4,Red      ,Red      ,0.74,0.47,0.05,0.24,0.3,0.27,0.94,0.9,0.89,0.94,0.9,0.93
574859b8f3379,30,Male,32,yes,objTwoColors,#0000FF,230,0,60,1,Blue     ,Red      ,0.87,0.11,0.36,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5756ab1701ba0,21,Male,32,yes,objTwoColors,#0000FF,58,144,192,5,Green    ,Green    ,0.51,0.42,0.27,0.1,0.18,0.15,0.68,0.65,0.68,0.68,0.65,0.6
5756ae6897296,21,Male,32,yes,objTwoColors,#0000FF,6,313,97,5,Red      ,Pink     ,0.44,0.39,0.06,0.17,0.21,0.19,0.77,0.73,0.64,0.77,0.73,0.63
5757fd2703090,22,Male,32,yes,objTwoColors,#0080FF,212,0,134,5,Blue     ,Red      ,0.8,0.09,0.25,0.07,0.13,0.11,0.47,0.45,0.47,0.47,0.45,0.99
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#0080FF,206,0,55,5,Navy-Blue,Red      ,0.76,0.09,0.23,0.06,0.11,0.09,0.5,0.48,0.46,0.5,0.48,0.95
57581518c2c07,25,Male,32,yes,objTwoColors,#0080FF,229,0,79,5,Blue     ,Red      ,0.87,0.11,0.36,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
57582b17cd76a,26,Male,32,yes,objTwoColors,#0080FF,227,0,72,4,Blue     ,Red      ,0.86,0.11,0.34,0.09,0.18,0.16,0.4,0.43,0.53,0.4,0.43,1.05
