id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5711231e370f2,24,Male,32,yes,objTwoColors,#00FF80,0,145,637,3,Red      ,DK-Green ,0.69,0.1,0.08,0.08,0.1,0.15,0.55,0.57,0.56,0.58,0.57,0.58,0.59,0.66,0.59,0.59,0.17,0.18
57112ce735a14,19,Male,6,no,objTwoColors,#00FF80,183,63,299,5,Blue     ,Green    ,0.27,0.1,0.31,0.05,0.12,0.13,0.3,0.32,0.27,0.33,0.32,0.51,0.51,0.53,0.52,0.51,0.64,0.64
57113a5534205,22,Male,31,no,objTwoColors,#00FF80,53,212,649,4,Green    ,Blue     ,0.95,0.09,0.27,0.03,0.05,0.05,0.6,0.61,0.6,0.61,0.61,0.4,0.4,0.28,0.4,0.4,0.49,0.5
57113b7f16c4b,22,Male,31,no,objTwoColors,#00FF80,60,202,387,4,Green    ,Navy-Blue,0.89,0.09,0.29,0.04,0.08,0.08,0.51,0.52,0.51,0.52,0.52,0.31,0.31,0.19,0.31,0.31,0.46,0.47
57113de4aed1a,21,Male,31,no,objTwoColors,#00FF80,142,139,263,2,Green    ,Green    ,0.64,0.06,0.4,0.1,0.19,0.26,0.19,0.21,0.21,0.22,0.21,0.25,0.25,0.33,0.26,0.25,0.62,0.61
571151812791a,20,Male,32,yes,objTwoColors,#00FF80,59,228,90,3,Green    ,Blue     ,1.01,0.04,0.28,0.03,0.04,0.04,0.63,0.65,0.64,0.65,0.65,0.44,0.45,0.33,0.45,0.45,0.59,0.59
571153ca15566,32,Male,32,no,objTwoColors,#00FF80,188,55,326,3,Cyan     ,Green    ,0.25,0.1,0.3,0.06,0.11,0.11,0.34,0.35,0.27,0.34,0.35,0.54,0.55,0.57,0.55,0.55,0.65,0.66
57116b9b879bf,20,Male,32,no,objTwoColors,#00FF80,107,139,369,3,Green    ,Green    ,0.69,0.1,0.4,0.11,0.21,0.28,0.15,0.16,0.25,0.17,0.16,0.21,0.2,0.37,0.21,0.2,0.63,0.62
57119224388ef,24,Male,31,no,objTwoColors,#00FF80,170,86,169,5,Green    ,DK-Green ,0.43,0.1,0.34,0.07,0.15,0.19,0.32,0.33,0.28,0.34,0.33,0.44,0.45,0.48,0.45,0.45,0.62,0.63
5711ace2ee7ed,24,Male,32,no,objTwoColors,#00FF80,59,206,106,4,Green    ,Navy-Blue,0.91,0.09,0.29,0.03,0.07,0.07,0.53,0.55,0.54,0.55,0.55,0.33,0.34,0.22,0.34,0.34,0.48,0.48
5711cbde51bb0,24,Male,31,no,objTwoColors,#00FF80,51,204,113,4,Green    ,Navy-Blue,0.9,0.1,0.26,0.04,0.06,0.06,0.56,0.57,0.56,0.57,0.57,0.36,0.36,0.24,0.36,0.36,0.43,0.44
5711eaec4b831,22,Male,3,no,objTwoColors,#00FF80,50,233,113,4,Green    ,Blue     ,1.02,0.31,0.26,0.01,0.06,0.05,0.68,0.7,0.68,0.7,0.7,0.49,0.5,0.37,0.5,0.5,0.56,0.56
571210e10d88b,23,Male,19,no,objTwoColors,#00FF80,152,0,396,5,Teal     ,Red      ,0.72,0.1,0.38,0.08,0.08,0.14,0.38,0.4,0.29,0.38,0.4,0.49,0.51,0.47,0.51,0.51,0.79,0.8
571214121717c,22,Male,32,no,objTwoColors,#00FF80,228,60,133,5,Blue     ,Green    ,0.01,0.04,0.33,0.03,0.04,0.04,0.53,0.56,0.5,0.57,0.56,0.75,0.77,0.78,0.77,0.77,0.77,0.77
57121e2a63601,21,Male,31,no,objTwoColors,#00FF80,191,59,411,2,Sky-Blue ,Green    ,0.21,0.1,0.29,0.05,0.11,0.11,0.34,0.36,0.3,0.37,0.36,0.56,0.57,0.58,0.57,0.57,0.66,0.66
57123bec83e8e,21,Male,32,no,objTwoColors,#00FF80,333,338,2,1,Magenta  ,Red      ,0.68,0.33,0.07,0.18,0.21,0.16,0.64,0.65,0.57,0.64,0.65,0.7,0.7,0.68,0.71,0.7,0.46,0.45
571243bcc8142,24,Male,12,no,objTwoColors,#00FF80,117,176,759,3,Green    ,Blue     ,0.79,0.03,0.4,0.08,0.15,0.19,0.26,0.28,0.34,0.28,0.28,0.05,0.05,0.17,0.05,0.05,0.46,0.47
571247f66fb51,27,Male,32,no,objTwoColors,#00FF80,131,175,545,3,Green    ,Blue     ,0.78,0.02,0.4,0.08,0.14,0.19,0.26,0.28,0.32,0.28,0.28,0.04,0.06,0.15,0.05,0.06,0.45,0.46
571260c120253,22,Male,32,no,objTwoColors,#00FF80,203,46,115,3,Navy-Blue,Green    ,0.19,0.1,0.26,0.03,0.05,0.05,0.47,0.48,0.38,0.47,0.48,0.65,0.66,0.67,0.66,0.66,0.71,0.72
57127cb3ab1fe,1,Male,12,no,objTwoColors,#00FF80,120,177,621,2,Green    ,Blue     ,0.8,0.02,0.41,0.08,0.15,0.19,0.27,0.28,0.35,0.28,0.28,0.05,0.05,0.16,0.05,0.05,0.46,0.47
5712c1176d5f8,23,Male,3,no,objTwoColors,#00FF80,236,114,259,4,Blue     ,Green    ,0.16,0.15,0.36,0.11,0.12,0.11,0.7,0.72,0.66,0.73,0.72,0.79,0.8,0.83,0.8,0.8,0.8,0.8
5713b10383207,40,Male,32,no,objTwoColors,#00FF80,211,57,99,5,Blue     ,Green    ,0.09,0.08,0.25,0.03,0.06,0.06,0.47,0.48,0.41,0.48,0.48,0.68,0.69,0.71,0.69,0.69,0.72,0.73
5713e73998df9,25,Male,4,no,objTwoColors,#00FF80,149,0,132,5,Teal     ,Red      ,0.74,0.1,0.38,0.08,0.09,0.15,0.37,0.38,0.28,0.36,0.38,0.48,0.49,0.46,0.49,0.49,0.8,0.8
57190633f233f,30,Male,32,no,objTwoColors,#00FF80,109,169,456,1,Green    ,Green    ,0.76,0.06,0.4,0.08,0.16,0.21,0.23,0.24,0.3,0.25,0.24,0.04,0.05,0.2,0.04,0.05,0.45,0.46
572106a31c230,24,Male,16,no,objTwoColors,#00FF80,191,50,328,3,Sky-Blue ,Green    ,0.25,0.11,0.29,0.06,0.09,0.09,0.38,0.39,0.28,0.38,0.39,0.57,0.58,0.59,0.58,0.58,0.67,0.67
5727633cd6511,25,Male,11,no,objTwoColors,#00FF80,244,6,869,1,Blue     ,Red      ,0.28,0.33,0.38,0.09,0.19,0.12,0.82,0.83,0.72,0.82,0.83,0.94,0.94,0.9,0.95,0.94,0.95,0.94
572767049ccfa,24,Male,32,yes,objTwoColors,#00FF9A,158,0,109,4,Cyan     ,Red      ,0.68,0.09,0.37,0.07,0.05,0.12,0.42,0.43,0.33,0.41,0.43,0.53,0.54,0.51,0.54,0.54,0.79,0.8
572c85675a5ef,23,Male,32,yes,objTwoColors,#00FF80,104,59,485,3,Green    ,Green    ,0.55,0.09,0.4,0.11,0.2,0.23,0.01,0.02,0.1,0.03,0.02,0.23,0.23,0.38,0.23,0.23,0.64,0.65
5734918f46823,26,Male,32,no,objTwoColors,#00FF80,53,187,86,3,Green    ,Cyan     ,0.81,0.11,0.27,0.06,0.1,0.11,0.46,0.47,0.46,0.47,0.47,0.24,0.25,0.18,0.24,0.25,0.33,0.35
5734aa4c927a8,22,Male,15,no,objTwoColors,#00FF80,261,59,1059,3,Blue     ,Green    ,0.02,0.35,0.35,0.02,0.04,0.03,0.53,0.55,0.5,0.56,0.55,0.75,0.76,0.78,0.76,0.76,0.75,0.76
5734b3efd45eb,26,Male,4,no,objTwoColors,#00FF80,188,133,254,3,Cyan     ,Green    ,0.38,0.06,0.3,0.09,0.12,0.17,0.47,0.48,0.43,0.49,0.48,0.54,0.55,0.58,0.55,0.55,0.65,0.66
5735d3455a84c,29,Male,32,no,objTwoColors,#00FF80,168,157,614,5,Green    ,Cyan     ,0.5,0.08,0.35,0.07,0.1,0.17,0.36,0.4,0.33,0.4,0.39,0.3,0.32,0.34,0.32,0.32,0.5,0.51
5736048bb110b,19,Male,32,no,objTwoColors,#00FF80,137,146,306,5,Green    ,DK-Green ,0.66,0.05,0.4,0.1,0.18,0.25,0.17,0.19,0.22,0.2,0.19,0.19,0.2,0.31,0.2,0.2,0.58,0.59
573634984323e,19,Male,32,no,objTwoColors,#00FF80,149,146,416,5,Teal     ,DK-Green ,0.6,0.03,0.39,0.08,0.16,0.23,0.23,0.25,0.21,0.26,0.25,0.25,0.26,0.3,0.26,0.26,0.57,0.57
57363b3954a26,55,Male,16,no,objTwoColors,#00FF80,188,65,338,3,Cyan     ,Yellow   ,0.25,0.1,0.3,0.06,0.12,0.12,0.34,0.36,0.3,0.37,0.36,0.54,0.54,0.56,0.55,0.54,0.65,0.65
57366c199283c,19,Male,32,no,objTwoColors,#00FF80,0,147,150,5,Red      ,NA       ,0.69,0.1,0.08,0.08,0.1,0.15,0.55,0.57,0.57,0.58,0.57,0.57,0.58,0.65,0.58,0.58,0.16,0.17
5738cf3d97a58,23,Male,32,no,objTwoColors,#00FF80,0,161,625,2,Red      ,Green    ,0.73,0.09,0.09,0.07,0.04,0.11,0.59,0.61,0.59,0.61,0.61,0.48,0.49,0.57,0.49,0.49,0.07,0.08
573a0b8280839,29,Male,21,yes,objTwoColors,#00FF9A,0,37,211,3,Red      ,Yellow   ,0.66,0.33,0.07,0.18,0.25,0.2,0.52,0.53,0.47,0.52,0.53,0.68,0.68,0.73,0.69,0.68,0.27,0.27
573c70dabcfe0,49,Male,32,yes,objTwoColors,#00FF9A,74,246,321,3,Yellow   ,Blue     ,1.04,0.06,0.32,0.07,0.08,0.07,0.6,0.61,0.6,0.61,0.61,0.4,0.4,0.29,0.4,0.4,0.65,0.66
573e4022949b1,24,Male,32,yes,objTwoColors,#00FF9A,149,0,108,5,Teal     ,Red      ,0.74,0.1,0.38,0.08,0.09,0.15,0.37,0.38,0.28,0.36,0.38,0.48,0.49,0.46,0.49,0.49,0.8,0.8
573e47c26cb8e,24,Male,32,yes,objTwoColors,#00FF9A,38,201,76,2,Yellow   ,Navy-Blue,0.88,0.11,0.22,0.02,0.04,0.04,0.61,0.62,0.61,0.62,0.62,0.41,0.41,0.28,0.41,0.41,0.34,0.35
573e4d0eb795b,24,Male,32,yes,objTwoColors,#00FF9A,145,0,200,3,DK-Green ,Red      ,0.76,0.1,0.39,0.08,0.1,0.15,0.35,0.36,0.27,0.34,0.36,0.46,0.47,0.45,0.47,0.47,0.8,0.81
573edae85268b,27,Male,32,yes,objTwoColors,#00FF9A,79,146,496,4,Yellow   ,DK-Green ,0.67,0.1,0.35,0.09,0.19,0.24,0.2,0.21,0.25,0.22,0.21,0.22,0.22,0.34,0.22,0.22,0.51,0.52
5740ad339507d,40,Male,32,yes,objTwoColors,#00FF9A,117,0,136,3,Green    ,Red      ,0.83,0.13,0.41,0.1,0.16,0.18,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83
5740b0f8e9734,62,Male,33,yes,objTwoColors,#00FF9A,152,0,347,4,Teal     ,Red      ,0.72,0.1,0.38,0.08,0.08,0.14,0.38,0.4,0.29,0.38,0.4,0.49,0.51,0.47,0.51,0.51,0.79,0.8
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF9A,168,58,127,4,Green    ,Green    ,0.35,0.1,0.35,0.07,0.13,0.16,0.21,0.23,0.17,0.23,0.23,0.42,0.44,0.45,0.44,0.44,0.62,0.63
574297edae49c,24,Male,32,no,objTwoColors,#00FF80,159,156,92,4,Green    ,Cyan     ,0.56,0.05,0.37,0.07,0.12,0.19,0.31,0.33,0.27,0.34,0.33,0.25,0.26,0.29,0.26,0.26,0.5,0.51
57459c393bbd0,29,Male,31,no,objTwoColors,#00FF80,3,114,361,4,Red      ,Green    ,0.7,0.13,0.07,0.1,0.16,0.18,0.56,0.57,0.57,0.58,0.57,0.65,0.65,0.74,0.65,0.65,0.24,0.25
5745f6f039dc9,15,Male,33,no,objTwoColors,#00FF80,0,0,0,4,Red      ,Red      ,0.83,0.39,0.07,0.24,0.3,0.25,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF9A,183,52,121,4,Blue     ,Green    ,0.29,0.11,0.31,0.06,0.11,0.11,0.32,0.33,0.23,0.32,0.33,0.52,0.52,0.54,0.53,0.52,0.65,0.65
5756ab1701ba0,21,Male,32,yes,objTwoColors,#00FF9A,2,93,134,5,Red      ,Green    ,0.67,0.18,0.07,0.1,0.16,0.18,0.53,0.53,0.54,0.54,0.53,0.63,0.63,0.72,0.63,0.63,0.22,0.23
5756ae6897296,21,Male,32,yes,objTwoColors,#00FF9A,182,50,415,3,Blue     ,Green    ,0.3,0.11,0.31,0.07,0.11,0.11,0.32,0.34,0.23,0.33,0.34,0.51,0.53,0.54,0.53,0.53,0.65,0.66
5757fd2703090,22,Male,32,yes,objTwoColors,#00FF80,133,0,109,2,Green    ,Red      ,0.81,0.11,0.4,0.09,0.14,0.17,0.3,0.31,0.31,0.29,0.31,0.41,0.42,0.49,0.42,0.42,0.82,0.82
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#00FF80,67,181,205,4,Yellow   ,Blue     ,0.79,0.1,0.31,0.06,0.13,0.14,0.37,0.39,0.38,0.39,0.39,0.15,0.16,0.16,0.16,0.16,0.36,0.36
57581518c2c07,25,Male,32,yes,objTwoColors,#00FF80,55,207,69,4,Green    ,Navy-Blue,0.92,0.09,0.28,0.03,0.06,0.06,0.56,0.57,0.56,0.57,0.57,0.36,0.36,0.24,0.36,0.36,0.47,0.48
57582b17cd76a,26,Male,32,yes,objTwoColors,#00FF80,59,209,52,3,Green    ,NA       ,0.93,0.08,0.29,0.03,0.07,0.07,0.55,0.57,0.56,0.57,0.57,0.35,0.36,0.24,0.36,0.36,0.5,0.5
