id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
57112d73dfafe,25,Male,5,no,objTwoColors,#00FF00,55,239,636,4,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.18,0.67,0.68,0.67,0.68,0.68,0.47,0.47,0.35,0.47,0.47,0.58,0.59,1.03
57112da850667,22,Female,47,no,objTwoColors,#00FF00,256,58,51,5,Blue     ,Green    ,0.32,0.38,0.3,0.06,0.19,0.17,0.55,0.56,0.5,0.56,0.56,0.76,0.77,0.78,0.77,0.77,0.76,0.77,0.02
57112db321110,20,Male,3,no,objTwoColors,#00FF00,0,71,994,3,Red      ,Yellow   ,0.43,0.25,0.28,0.15,0.2,0.14,0.45,0.47,0.47,0.48,0.47,0.62,0.63,0.71,0.63,0.63,0.21,0.22,0.59
571130c5cd6e9,24,Female,32,no,objTwoColors,#00FF00,57,196,126,5,Green    ,LI-Blue  ,0.57,0.02,0.14,0.02,0.06,0.07,0.49,0.51,0.49,0.51,0.51,0.28,0.29,0.16,0.29,0.29,0.41,0.42,0.86
571130d934bda,22,Female,32,no,objTwoColors,#00FF00,58,185,216,5,Green    ,Blue     ,0.51,0.02,0.14,0.03,0.04,0.04,0.43,0.44,0.43,0.44,0.44,0.21,0.21,0.17,0.21,0.21,0.34,0.35,0.8
57113a5534205,22,Male,31,no,objTwoColors,#00FF00,53,235,211,5,Green    ,Blue     ,0.75,0.38,0.13,0.06,0.21,0.18,0.68,0.69,0.67,0.68,0.69,0.48,0.48,0.36,0.48,0.48,0.57,0.58,1.03
57113b7f16c4b,22,Male,31,no,objTwoColors,#00FF00,189,58,363,4,Cyan     ,Green    ,0.11,0.02,0.08,0.02,0.05,0.05,0.33,0.35,0.29,0.35,0.35,0.54,0.56,0.57,0.56,0.56,0.65,0.66,0.23
57113d9cc42b5,21,Female,12,no,objTwoColors,#00FF00,220,55,452,5,Blue     ,Green    ,0.3,0.03,0.22,0.05,0.13,0.14,0.53,0.54,0.46,0.53,0.54,0.73,0.74,0.76,0.74,0.74,0.75,0.75,0.06
57113e6176346,23,Female,30,no,objTwoColors,#00FF00,0,135,172,5,Red      ,Green    ,0.54,0.1,0.28,0.12,0.08,0.09,0.56,0.57,0.57,0.58,0.57,0.62,0.63,0.71,0.63,0.63,0.21,0.22,0.7
57114d8a4c057,22,Male,9,no,objTwoColors,#00FF00,97,98,203,5,Green    ,Green    ,0.36,0,0.2,0.05,0.08,0.13,0.13,0.15,0.22,0.16,0.15,0.23,0.24,0.4,0.24,0.24,0.64,0.64,0.67
571151812791a,20,Male,32,yes,objTwoColors,#00FF00,58,179,88,3,Green    ,Blue     ,0.48,0.02,0.14,0.04,0.03,0.03,0.4,0.41,0.4,0.41,0.41,0.18,0.18,0.2,0.18,0.18,0.31,0.32,0.77
571153e3025f9,22,Female,11,no,objTwoColors,#00FF00,64,225,324,4,Green    ,Blue     ,0.71,0.06,0.16,0.07,0.14,0.15,0.6,0.62,0.61,0.62,0.62,0.41,0.42,0.3,0.42,0.42,0.6,0.6,1
5711641931da5,20,Female,32,no,objTwoColors,#00FF00,8,219,281,5,Red      ,Blue     ,0.85,0.45,0.21,0.15,0.28,0.22,0.87,0.88,0.86,0.88,0.88,0.67,0.67,0.54,0.67,0.67,0.28,0.29,1.02
57116b9b879bf,20,Male,32,no,objTwoColors,#00FF00,236,58,197,4,Blue     ,Green    ,0.33,0.08,0.3,0.06,0.2,0.17,0.56,0.57,0.51,0.57,0.57,0.77,0.78,0.79,0.78,0.78,0.78,0.78,0.02
571171d59aaee,21,Male,3,no,objTwoColors,#00FF00,68,129,675,1,Yellow   ,Green    ,0.36,0,0.14,0.06,0.06,0.1,0.25,0.26,0.28,0.27,0.26,0.33,0.33,0.44,0.33,0.33,0.54,0.55,0.67
57117b1840694,23,Male,3,no,objTwoColors,#00FF00,81,0,273,3,Yellow   ,Red      ,0.5,0.22,0.17,0.14,0.18,0.13,0.33,0.34,0.32,0.32,0.34,0.44,0.45,0.5,0.45,0.45,0.75,0.76,0.81
57119224388ef,24,Male,31,no,objTwoColors,#00FF00,234,151,142,5,Blue     ,Teal     ,0.47,0.35,0.29,0.13,0.29,0.24,0.7,0.72,0.66,0.73,0.72,0.68,0.69,0.72,0.69,0.69,0.69,0.69,0.15
5711ace2ee7ed,24,Male,32,no,objTwoColors,#00FF00,0,77,1079,3,Red      ,Yellow   ,0.46,0.24,0.28,0.15,0.19,0.13,0.48,0.49,0.49,0.5,0.49,0.62,0.63,0.71,0.63,0.63,0.21,0.22,0.62
5711cbde51bb0,24,Male,31,no,objTwoColors,#00FF00,217,55,106,3,Blue     ,Green    ,0.28,0.03,0.2,0.05,0.12,0.13,0.51,0.52,0.45,0.51,0.52,0.71,0.72,0.75,0.72,0.72,0.74,0.75,0.07
571214121717c,22,Male,32,no,objTwoColors,#00FF00,58,248,241,5,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.17,0.66,0.66,0.65,0.66,0.66,0.46,0.46,0.34,0.46,0.46,0.59,0.6,1.03
5712197fbccd5,24,Female,32,no,objTwoColors,#00FF00,0,69,63,4,Red      ,Yellow   ,0.43,0.26,0.28,0.16,0.21,0.15,0.45,0.46,0.46,0.47,0.46,0.62,0.63,0.71,0.63,0.63,0.21,0.22,0.59
57121e2a63601,21,Male,31,no,objTwoColors,#00FF00,0,0,0,3,Red      ,Red      ,0.67,0.41,0.28,0.29,0.36,0.31,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4,0.83
57123bec83e8e,21,Male,32,no,objTwoColors,#00FF00,113,106,191,3,Green    ,Green    ,0.38,0.02,0.21,0.05,0.08,0.14,0.16,0.17,0.26,0.18,0.17,0.25,0.25,0.42,0.25,0.25,0.66,0.67,0.69
57123e4050550,20,Female,40,no,objTwoColors,#00FF00,183,61,287,4,Blue     ,Green    ,0.07,0.02,0.07,0.03,0.03,0.04,0.3,0.31,0.26,0.32,0.31,0.51,0.51,0.53,0.52,0.51,0.64,0.64,0.27
571247f66fb51,27,Male,32,no,objTwoColors,#00FF00,121,93,445,5,Green    ,Green    ,0.36,0.01,0.21,0.05,0.08,0.13,0.14,0.14,0.23,0.15,0.14,0.24,0.24,0.41,0.24,0.24,0.65,0.66,0.67
571260c120253,22,Male,32,no,objTwoColors,#00FF00,213,57,96,3,Blue     ,Green    ,0.25,0.03,0.18,0.05,0.11,0.12,0.48,0.49,0.43,0.49,0.49,0.69,0.7,0.73,0.7,0.7,0.73,0.73,0.08
57127bcfaafb0,22,Female,32,no,objTwoColors,#00FF00,59,186,383,5,Green    ,Cyan     ,0.51,0.02,0.14,0.02,0.04,0.04,0.42,0.44,0.44,0.44,0.44,0.21,0.22,0.16,0.22,0.22,0.36,0.36,0.8
5712bd55a8a13,27,Female,32,no,objTwoColors,#00FF00,93,0,368,3,Green    ,Red      ,0.5,0.19,0.19,0.13,0.14,0.11,0.29,0.3,0.31,0.28,0.3,0.4,0.41,0.49,0.41,0.41,0.79,0.79,0.82
5712c2b021f58,22,Female,32,no,objTwoColors,#00FF00,59,199,126,5,Green    ,Navy-Blue,0.58,0.02,0.14,0.03,0.06,0.07,0.49,0.51,0.5,0.51,0.51,0.29,0.3,0.18,0.3,0.3,0.44,0.44,0.87
5712c57f97f25,25,Female,31,no,objTwoColors,#00FF00,142,143,524,0,Green    ,Green    ,0.32,0.05,0.19,0.02,0.04,0.11,0.19,0.21,0.2,0.22,0.21,0.23,0.24,0.31,0.24,0.24,0.6,0.6,0.64
57138ac176750,21,Male,7,no,objTwoColors,#00FF00,203,67,625,5,Navy-Blue,Yellow   ,0.21,0.03,0.13,0.04,0.07,0.09,0.44,0.45,0.41,0.46,0.45,0.62,0.63,0.67,0.63,0.63,0.68,0.69,0.16
5713923c1bbc7,24,Female,27,no,objTwoColors,#00FF00,59,174,122,2,Green    ,Blue     ,0.46,0.02,0.14,0.03,0.03,0.02,0.37,0.39,0.38,0.39,0.39,0.15,0.16,0.23,0.16,0.16,0.3,0.3,0.75
5713a02a13044,24,Female,32,yes,objTwoColors,#00FF00,0,137,459,2,Red      ,Green    ,0.53,0.1,0.27,0.12,0.08,0.09,0.55,0.57,0.57,0.58,0.57,0.61,0.62,0.7,0.62,0.62,0.2,0.21,0.69
5713fc80c942a,23,Female,32,no,objTwoColors,#00FF00,54,187,116,5,Green    ,Cyan     ,0.53,0.02,0.13,0.03,0.05,0.05,0.45,0.47,0.45,0.47,0.47,0.23,0.25,0.17,0.24,0.25,0.34,0.35,0.81
571410751e7b0,22,Female,12,no,objTwoColors,#00FF00,59,19,321,2,Green    ,Red      ,0.44,0.23,0.13,0.15,0.18,0.14,0.35,0.36,0.32,0.35,0.36,0.48,0.48,0.52,0.49,0.48,0.63,0.62,0.73
572767049ccfa,24,Male,32,yes,objTwoColors,#00FF00,56,221,126,3,Green    ,Blue     ,0.7,0.04,0.14,0.05,0.13,0.14,0.63,0.64,0.63,0.64,0.64,0.43,0.43,0.31,0.43,0.43,0.55,0.55,0.99
57276731cfba9,20,Male,5,no,objTwoColors,#00FF00,175,58,409,3,Blue     ,Green    ,0.03,0.02,0.07,0.04,0.03,0.02,0.26,0.27,0.21,0.27,0.27,0.47,0.48,0.49,0.48,0.48,0.63,0.64,0.31
57277ba3c5a5c,20,Male,8,no,objTwoColors,#00FF00,59,194,158,5,Green    ,Sky-Blue ,0.55,0.02,0.14,0.02,0.05,0.06,0.46,0.48,0.48,0.49,0.48,0.26,0.27,0.15,0.27,0.27,0.41,0.41,0.84
572934019041e,20,Female,6,no,objTwoColors,#00FF00,233,57,115,4,Blue     ,Green    ,0.33,0.07,0.29,0.06,0.18,0.17,0.56,0.57,0.5,0.57,0.57,0.77,0.78,0.8,0.78,0.78,0.77,0.78,0.01
572c85675a5ef,23,Male,32,yes,objTwoColors,#00FF00,114,111,231,5,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.17,0.26,0.19,0.17,0.26,0.26,0.42,0.26,0.26,0.67,0.68,0.7
5734918f46823,26,Male,32,no,objTwoColors,#00FF00,59,181,95,4,Green    ,Blue     ,0.49,0.02,0.14,0.03,0.03,0.03,0.4,0.42,0.41,0.42,0.42,0.18,0.19,0.19,0.19,0.19,0.33,0.33,0.78
5734b3efd45eb,26,Male,4,no,objTwoColors,#00FF00,58,188,217,3,Green    ,Cyan     ,0.52,0.02,0.14,0.02,0.04,0.05,0.44,0.45,0.45,0.45,0.45,0.23,0.23,0.15,0.23,0.23,0.36,0.37,0.81
5735d3455a84c,29,Male,32,no,objTwoColors,#00FF00,203,54,198,4,Navy-Blue,Green    ,0.2,0.02,0.13,0.04,0.08,0.09,0.43,0.44,0.36,0.43,0.44,0.64,0.64,0.67,0.65,0.64,0.7,0.7,0.15
5738cf3d97a58,23,Male,32,no,objTwoColors,#00FF00,53,155,446,3,Green    ,Cyan     ,0.39,0.01,0.13,0.07,0.01,0.03,0.32,0.33,0.34,0.34,0.33,0.27,0.27,0.37,0.27,0.27,0.36,0.37,0.67
573a0b8280839,29,Male,21,yes,objTwoColors,#00FF00,0,32,25,3,Red      ,Orange   ,0.53,0.37,0.28,0.24,0.31,0.25,0.55,0.56,0.5,0.55,0.56,0.7,0.7,0.74,0.71,0.7,0.29,0.29,0.69
573e4022949b1,24,Male,32,yes,objTwoColors,#00FF00,120,0,93,5,Green    ,Red      ,0.52,0.13,0.21,0.12,0.09,0.1,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83,0.83
573e47c26cb8e,24,Male,32,yes,objTwoColors,#00FF00,58,234,78,2,Green    ,Blue     ,0.73,0.07,0.14,0.06,0.18,0.17,0.65,0.66,0.65,0.66,0.66,0.46,0.46,0.34,0.46,0.46,0.59,0.6,1.02
573e4d0eb795b,24,Male,32,yes,objTwoColors,#00FF00,235,59,121,4,Blue     ,Green    ,0.32,0.08,0.3,0.07,0.19,0.17,0.55,0.57,0.51,0.58,0.57,0.77,0.78,0.79,0.78,0.78,0.78,0.78,0.01
573ec4275ba17,24,Female,32,yes,objTwoColors,#00FF00,108,140,416,3,Green    ,Green    ,0.37,0.02,0.21,0.04,0.07,0.13,0.15,0.17,0.25,0.18,0.17,0.2,0.21,0.37,0.21,0.21,0.62,0.62,0.69
573edae85268b,27,Male,32,yes,objTwoColors,#00FF00,242,57,224,5,Blue     ,Green    ,0.33,0.38,0.31,0.06,0.2,0.18,0.56,0.57,0.51,0.57,0.57,0.77,0.78,0.81,0.78,0.78,0.78,0.78,0.02
574297edae49c,24,Male,32,no,objTwoColors,#00FF00,114,127,152,5,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.18,0.26,0.19,0.18,0.25,0.25,0.42,0.25,0.25,0.66,0.67,0.7
57451c3b38192,23,Female,32,no,objTwoColors,#00FF00,0,103,103,5,Red      ,Green    ,0.53,0.17,0.28,0.12,0.09,0.1,0.55,0.56,0.56,0.58,0.56,0.64,0.65,0.73,0.65,0.65,0.23,0.24,0.69
5745500f6e643,24,Female,32,no,objTwoColors,#00FF00,183,48,126,2,Blue     ,Green    ,0.11,0.02,0.07,0.05,0.05,0.05,0.34,0.35,0.24,0.34,0.35,0.53,0.53,0.54,0.54,0.53,0.66,0.66,0.31
57459c393bbd0,29,Male,31,no,objTwoColors,#00FF00,207,57,349,4,Navy-Blue,Green    ,0.22,0.02,0.14,0.04,0.09,0.1,0.45,0.46,0.39,0.46,0.46,0.66,0.67,0.69,0.67,0.67,0.71,0.71,0.12
5756ab1701ba0,21,Male,32,yes,objTwoColors,#00FF00,57,228,84,5,Green    ,Blue     ,0.72,0.05,0.14,0.06,0.16,0.16,0.64,0.66,0.64,0.66,0.66,0.45,0.46,0.33,0.46,0.46,0.58,0.59,1.01
5756ae6897296,21,Male,32,yes,objTwoColors,#00FF00,67,183,281,4,Yellow   ,Blue     ,0.49,0.02,0.16,0.02,0.03,0.04,0.38,0.4,0.39,0.4,0.4,0.16,0.17,0.15,0.17,0.17,0.37,0.37,0.8
5756b2d9bd658,23,Female,32,yes,objTwoColors,#00FF00,59,199,73,4,Green    ,Navy-Blue,0.58,0.02,0.14,0.03,0.06,0.07,0.49,0.51,0.5,0.51,0.51,0.29,0.3,0.18,0.3,0.3,0.44,0.44,0.87
5757fd2703090,22,Male,32,yes,objTwoColors,#00FF00,55,226,54,5,Green    ,Blue     ,0.72,0.05,0.14,0.06,0.16,0.16,0.65,0.66,0.64,0.66,0.66,0.45,0.45,0.33,0.45,0.45,0.56,0.57,1.01
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#00FF00,57,191,77,4,Green    ,Sky-Blue ,0.54,0.02,0.14,0.02,0.05,0.06,0.46,0.48,0.46,0.48,0.48,0.25,0.26,0.14,0.26,0.26,0.38,0.39,0.83
57581518c2c07,25,Male,32,yes,objTwoColors,#00FF00,53,234,380,4,Green    ,Blue     ,0.74,0.38,0.13,0.06,0.2,0.18,0.67,0.68,0.67,0.68,0.68,0.48,0.48,0.36,0.48,0.48,0.57,0.58,1.02
57582b17cd76a,26,Male,32,yes,objTwoColors,#00FF00,58,191,72,3,Green    ,Sky-Blue ,0.54,0.02,0.14,0.02,0.05,0.06,0.46,0.47,0.46,0.47,0.47,0.25,0.25,0.14,0.25,0.25,0.38,0.39,0.83
